"Name","Pin","Function","Power, Clock, Debug, System","CANFD","AGT","SCI","SPI","GPT","GPT_OPS","ICU","BUS_ASYNCH","QSPI","USB_FS","SDHI","ETHERC_RMII","CAC","SSI","CTSU","RTC","IIC","ADC","OSPI","USB_HS","CEC","SSI_COMMON","GPT_POEG","DAC","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment",
"AVCC0","N8","ANALOG0_AVCC0","AVCC0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"AVCCUSBHS","H13","USB_HS0_AVCC_USBHS","AVCC_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"AVSS0","N9","ANALOG0_AVSS0","AVSS0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"AVSSUSBHS","G14","USB_HS0_AVSS_USBHS","AVSS_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"P000","R12","ICU0_IRQ06","","","","","","","","IRQ06","","","","","","","","","","","AN000/AN100","","","","","","","","","IRQ06","IRQ mode","","None","ADC0: AN000
ADC1: AN100
ICU0: IRQ06","","IO","","",
"P001","N11","","","","","","","","","IRQ07","","","","","","","","","","","AN001/AN101","","","","","","","","","","Disabled","","","ADC0: AN001
ADC1: AN101
ICU0: IRQ07","","None","","",
"P002","R11","","","","","","","","","IRQ08","","","","","","","","","","","AN002/AN102","","","","","","","","","","Disabled","","","ADC0: AN002
ADC1: AN102
ICU0: IRQ08","","None","","",
"P003","M5","","","","","","","","","","","","","","","","","","","","AN003","","","","","","","","","","Disabled","","","ADC0: AN003","","None","","",
"P004","P11","","","","","","","","","IRQ09","","","","","","","","","","","AN004","","","","","","","","","","Disabled","","","ADC0: AN004
ICU0: IRQ09","","None","","",
"P005","R10","","","","","","","","","IRQ10","","","","","","","","","","","AN005","","","","","","","","","","Disabled","","","ADC0: AN005
ICU0: IRQ10","","None","","",
"P006","N10","","","","","","","","","IRQ11","","","","","","","","","","","AN006","","","","","","","","","","Disabled","","","ADC0: AN006
ICU0: IRQ11","","None","","",
"P007","M6","","","","","","","","","","","","","","","","","","","","AN007","","","","","","","","","","Disabled","","","ADC0: AN007","","None","","",
"P008","P10","","","","","","","","","IRQ12","","","","","","","","","","","AN008","","","","","","","","","","Disabled","","","ADC0: AN008
ICU0: IRQ12","","None","","",
"P009","M9","","","","","","","","","IRQ13","","","","","","","","","","","AN009","","","","","","","","","","Disabled","","","ADC0: AN009
ICU0: IRQ13","","None","","",
"P010","M8","","","","","","","","","IRQ14","","","","","","","","","","","AN010","","","","","","","","","","Disabled","","","ADC0: AN010
ICU0: IRQ14","","None","","",
"P014","R7","","","","","","","","","","","","","","","","","","","","AN012","","","","","","DA0","","","","Disabled","","","ADC0: AN012
DAC0: DA0","","None","","",
"P015","P7","","","","","","","","","IRQ13","","","","","","","","","","","AN013","","","","","","DA1","","","","Disabled","","","ADC0: AN013
DAC1: DA1
ICU0: IRQ13","","None","","",
"P100","P1","","","","AGTIO0","RXD0/SCL0/SCK1","MISOB","GTIOC5B","","IRQ02","D00","QSPCLK","","","","","","","","","","OMSCLK","","","","GTETRGA","","","","","Disabled","","","AGT0: AGTIO0
BUS_ASYNCH0: D00
GPT_POEG0: GTETRGA
GPT5: GTIOC5B
ICU0: IRQ02
OSPI0: OMSCLK
QSPI0: QSPCLK
SCI0: RXD0
SCI0: SCL0
SCI1: SCK1
SPI1: MISOB","","None","","",
"P101","N2","","","","AGTEE0","TXD0/SDA0/CTSRTS1","MOSIB","GTIOC5A","","IRQ01","D01","QIO1","","","","","","","","","","OMSIO7","","","","GTETRGB","","","","","Disabled","","","AGT0: AGTEE0
BUS_ASYNCH0: D01
GPT_POEG1: GTETRGB
GPT5: GTIOC5A
ICU0: IRQ01
OSPI0: OMSIO7
QSPI0: QIO1
SCI0: SDA0
SCI0: TXD0
SCI1: CTSRTS1
SPI1: MOSIB","","None","","",
"P102","M3","","","CRX0","AGTO0","SCK0","RSPCKB","GTIOC2B","GTOWLO","","D02","QIO0","","","","","","","","","ADTRG0","OMSIO1","","","","","","","","","Disabled","","","ADC0: ADTRG0
AGT0: AGTO0
BUS_ASYNCH0: D02
CAN0: CRX0
GPT_OPS0: GTOWLO
GPT2: GTIOC2B
OSPI0: OMSIO1
QSPI0: QIO0
SCI0: SCK0
SPI1: RSPCKB","","None","","",
"P103","N1","","","CTX0","AGTIO2","CTSRTS0","SSLB0","GTIOC2A","GTOWUP","","D03","QIO3","","","","","","","","","","OMSIO6","","","","","","","","","Disabled","","","AGT2: AGTIO2
BUS_ASYNCH0: D03
CAN0: CTX0
GPT_OPS0: GTOWUP
GPT2: GTIOC2A
OSPI0: OMSIO6
QSPI0: QIO3
SCI0: CTSRTS0
SPI1: SSLB0","","None","","",
"P104","M2","","","","AGTEE2","RXD8/SCL8","SSLB1","GTIOC1B","","IRQ01","D04","QIO2","","","","","","","","","","OMDQS","","","","GTETRGB","","","","","Disabled","","","AGT2: AGTEE2
BUS_ASYNCH0: D04
GPT_POEG1: GTETRGB
GPT1: GTIOC1B
ICU0: IRQ01
OSPI0: OMDQS
QSPI0: QIO2
SCI8: RXD8
SCI8: SCL8
SPI1: SSLB1","","None","","",
"P105","L3","","","","AGTO2","TXD8/SDA8","SSLB2","GTIOC1A","","IRQ00","D05","","","","","","","","","","","OMSIO5","","","","GTETRGA","","","","","Disabled","","","AGT2: AGTO2
BUS_ASYNCH0: D05
GPT_POEG0: GTETRGA
GPT1: GTIOC1A
ICU0: IRQ00
OSPI0: OMSIO5
SCI8: SDA8
SCI8: TXD8
SPI1: SSLB2","","None","","",
"P106","M1","","","","AGTOB0","SCK8","SSLB3","GTIOC8B","","","D06","","","","","","","","","","","OMSIO0","","","","","","","","","Disabled","","","AGT0: AGTOB0
BUS_ASYNCH0: D06
GPT8: GTIOC8B
OSPI0: OMSIO0
SCI8: SCK8
SPI1: SSLB3","","None","","",
"P107","L2","","","","AGTOA0","CTSRTS8","","GTIOC8A","","","D07","","","","","","","","","","","OMSIO3","","","","","","","","","Disabled","","","AGT0: AGTOA0
BUS_ASYNCH0: D07
GPT8: GTIOC8A
OSPI0: OMSIO3
SCI8: CTSRTS8","","None","","",
"P108","C3","DEBUG0_SWDIO","SWDIO/TMS","","AGTOA3","CTSRTS9","SSLA0","GTIOC0B","GTOULO","","","","","","","","","","","","","","","","","","","","Low","","Peripheral mode","CMOS","None","AGT3: AGTOA3
DEBUG0: SWDIO
DEBUG0: TMS
GPT_OPS0: GTOULO
GPT0: GTIOC0B
SCI9: CTSRTS9
SPI0: SSLA0","","IO","","",
"P109","A1","","TDO/TRACESWO/CLKOUT","CTX1","AGTOB3","TXD9/SDA9","MOSIA","GTIOC1A","GTOVUP","","","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT3: AGTOB3
CAN1: CTX1
CGC0: CLKOUT
DEBUG0: TDO
DEBUG0: TRACESWO
GPT_OPS0: GTOVUP
GPT1: GTIOC1A
SCI9: SDA9
SCI9: TXD9
SPI0: MOSIA","","None","","",
"P110","D3","","TDI","CRX1","AGTEE3","CTSRTS2/RXD9/SCL9","MISOA","GTIOC1B","GTOVLO","IRQ03","","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT3: AGTEE3
CAN1: CRX1
DEBUG0: TDI
GPT_OPS0: GTOVLO
GPT1: GTIOC1B
ICU0: IRQ03
SCI2: CTSRTS2
SCI9: RXD9
SCI9: SCL9
SPI0: MISOA","","None","","",
"P111","D4","","","","AGTOA5","SCK2/SCK9","RSPCKA","GTIOC3A","","IRQ04","A05","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT5: AGTOA5
BUS_ASYNCH0: A05
GPT3: GTIOC3A
ICU0: IRQ04
SCI2: SCK2
SCI9: SCK9
SPI0: RSPCKA","","None","","",
"P112","B2","SCI2_TXD2","","","AGTOB5","SCK1/TXD2/SDA2","SSLA0","GTIOC3B","","","A04","QSSL","","","","","SSIBCK0","","","","","OMCS1","","","","","","","Low","","Peripheral mode","CMOS","None","AGT5: AGTOB5
BUS_ASYNCH0: A04
GPT3: GTIOC3B
OSPI0: OMCS1
QSPI0: QSSL
SCI1: SCK1
SCI2: SDA2
SCI2: TXD2
SPI0: SSLA0
SSI0: SSIBCK0","","IO","","",
"P113","B1","SCI2_RXD2","","","AGTEE5","RXD2/SCL2","","GTIOC2A","","","A03","","","","","","SSILRCK0","","","","","","","","","","","","Low","","Peripheral mode","CMOS","None","AGT5: AGTEE5
BUS_ASYNCH0: A03
GPT2: GTIOC2A
SCI2: RXD2
SCI2: SCL2
SSI0: SSILRCK0","","IO","","",
"P114","C2","","","","AGTIO5","CTS9","","GTIOC2B","","","A02","","","","","","SSIRXD0","","","","","","","","","","","","","","Disabled","","","AGT5: AGTIO5
BUS_ASYNCH0: A02
GPT2: GTIOC2B
SCI9: CTS9
SSI0: SSIRXD0","","None","","",
